example_id                                                                                        | status  | run_time        |
------------------------------------------------------------------------------------------------- | ------- | --------------- |
./spec/isolated_environment_spec.rb[1:1]                                                          | passed  | 0.10632 seconds |
./spec/isolated_environment_spec.rb[1:2:1]                                                        | passed  | 0.00355 seconds |
./spec/project_spec.rb[1:1:1]                                                                     | passed  | 0.06491 seconds |
./spec/project_spec.rb[1:1:2]                                                                     | passed  | 0.10625 seconds |
./spec/project_spec.rb[1:1:3]                                                                     | passed  | 0.06564 seconds |
./spec/project_spec.rb[1:1:4]                                                                     | passed  | 0.06126 seconds |
./spec/project_spec.rb[1:1:5]                                                                     | passed  | 0.10459 seconds |
./spec/project_spec.rb[1:1:6]                                                                     | passed  | 0.05505 seconds |
./spec/project_spec.rb[1:1:7]                                                                     | passed  | 0.0537 seconds  |
./spec/project_spec.rb[1:1:8]                                                                     | passed  | 0.05985 seconds |
./spec/project_spec.rb[1:1:9]                                                                     | passed  | 0.02155 seconds |
./spec/project_spec.rb[1:1:10]                                                                    | passed  | 0.05793 seconds |
./spec/project_spec.rb[1:1:11]                                                                    | passed  | 0.0635 seconds  |
./spec/project_spec.rb[1:1:12]                                                                    | passed  | 0.08675 seconds |
./spec/project_spec.rb[1:1:13]                                                                    | passed  | 0.06792 seconds |
./spec/project_spec.rb[1:1:14]                                                                    | passed  | 0.05232 seconds |
./spec/project_spec.rb[1:2:1]                                                                     | passed  | 0.00969 seconds |
./spec/project_spec.rb[1:3:1]                                                                     | passed  | 0.00112 seconds |
./spec/project_spec.rb[1:3:2]                                                                     | passed  | 0.02778 seconds |
./spec/project_spec.rb[1:3:3:1]                                                                   | passed  | 0.05663 seconds |
./spec/project_spec.rb[1:3:3:2]                                                                   | passed  | 0.0203 seconds  |
./spec/project_spec.rb[1:3:3:3:1]                                                                 | passed  | 0.07326 seconds |
./spec/project_spec.rb[1:3:3:3:2]                                                                 | passed  | 0.04477 seconds |
./spec/project_spec.rb[1:3:3:3:3]                                                                 | passed  | 0.1178 seconds  |
./spec/project_spec.rb[1:3:3:3:4]                                                                 | passed  | 0.02521 seconds |
./spec/project_spec.rb[1:3:3:4:1]                                                                 | passed  | 0.00492 seconds |
./spec/project_spec.rb[1:3:3:5:1]                                                                 | passed  | 0.11905 seconds |
./spec/project_spec.rb[1:3:3:5:2]                                                                 | passed  | 0.08718 seconds |
./spec/project_spec.rb[1:3:3:5:3]                                                                 | passed  | 0.09503 seconds |
./spec/project_spec.rb[1:3:4:1]                                                                   | passed  | 0.00035 seconds |
./spec/project_spec.rb[1:3:4:2:1]                                                                 | passed  | 0.00023 seconds |
